<S, 1>
<HALE, 1>
<Blank, 1>
<Hospital, 2>
<Washington, 6>
<still, 5>
<room, 8>
<breathlessly, 1>
<strangely, 1>
<darkened, 1>
<outside, 2>
<gathered, 2>
<feeling, 7>
<happiness, 1>
<lives, 1>
<directly, 2>
<message, 1>
<stretched, 1>
<arms, 2>
<daughters, 1>
<forgot, 2>
<late, 6>
<bear, 2>
<several, 1>
<sound, 2>
<sobbing, 1>
<mingled, 1>
<broken, 2>
<comfort, 9>
<tender, 1>
<assurances, 1>
<whispers, 1>
<Poor, 1>
<wisdom, 1>
<set, 2>
<example, 1>
<panacea, 1>
<afflictions, 1>
<Lord, 1>
<waste, 1>
<cryin, 1>
<git, 2>
<heartily, 2>
<wiped, 1>
<apron, 1>
<mistress, 1>
<warm, 2>
<own, 8>
<Be, 3>
<calm, 2>
<pale, 2>
<steady, 1>
<put, 13>
<grief, 1>
<plan, 1>
<collected, 1>
<thoughts, 3>
<decided, 1>
<duties, 3>
<Here, 1>
<ma, 3>
<boy, 2>
<hurrying, 2>
<whither, 1>
<withdrawn, 1>
<sorrow, 3>
<sacred, 1>
<friendly, 2>
<Send, 1>
<telegram, 1>
<train, 1>
<goes, 4>
<early, 3>
<morning, 3>
<horses, 1>
<anywhere, 1>
<fly, 2>
<ends, 3>
<earth, 2>
<Leave, 1>
<note, 4>
<Aunt, 7>
<pen, 1>
<Tearing, 1>
<off, 13>
<blank, 1>
<side, 1>
<newly, 1>
<copied, 1>
<pages, 1>
<knowing, 1>
<sad, 3>
<journey, 4>
<borrowed, 1>
<add, 1>
<sum, 2>
<father, 5>
<Now, 3>
<kill, 1>
<yourself, 4>
<driving, 1>
<desperate, 1>
<pace, 1>
<There, 4>
<need, 5>
<evidently, 1>
<thrown, 1>
<later, 1>
<tore, 1>
<fleet, 1>
<riding, 1>
<life, 3>
<rooms, 3>
<King, 2>
<needed, 1>
<prepared, 1>
<nursing, 1>
<stores, 2>
<ask, 4>
<Laurence, 9>
<couple, 1>
<bottles, 1>
<wine, 1>
<beg, 3>
<black, 2>
<trunk, 2>
<find, 4>
<Writing, 1>
<thinking, 3>
<directing, 1>
<bewilder, 1>
<begged, 4>
<quietly, 6>
<Everyone, 2>
<scattered, 1>
<gust, 1>
<quiet, 2>
<evil, 1>
<spell, 2>
<bringing, 2>
<invalid, 2>
<friendliest, 1>
<promises, 1>
<protection, 2>
<during, 1>
<absence, 1>
<comforted, 3>
<offer, 2>
<dressing, 1>
<gown, 2>
<himself, 1>
<escort, 2>
<last, 8>
<impossible, 2>
<undertaking, 1>
<yet, 2>
<expression, 3>
<relief, 2>
<visible, 1>
<anxiety, 5>
<fits, 1>
<traveling, 1>
<knit, 1>
<heavy, 4>
<eyebrows, 1>
<rubbed, 1>
<marched, 2>
<abruptly, 1>
<entry, 1>
<pair, 1>
<rubbers, 2>
<cup, 2>
<tea, 5>
<upon, 2>
<sorry, 3>
<sounded, 1>
<pleasantly, 1>
<perturbed, 1>
<spirit, 2>
<commissions, 1>
<real, 2>
<satisfaction, 2>
<service, 1>
<Down, 1>
<following, 1>
<gratitude, 1>
<repaid, 1>
<greater, 1>
<sacrifice, 1>
<trifling, 1>
<accept, 1>
<earnestly, 2>
<entirely, 2>
<remember, 5>
<cooling, 1>
<lead, 2>
<parlor, 1>
<Everything, 2>
<arranged, 1>
<enclosing, 1>
<desired, 1>
<repeating, 1>
<absurd, 1>
<army, 3>
<predicted, 1>
<hoped, 1>
<advice, 2>
<fire, 2>
<purse, 1>
<preparations, 1>
<folded, 2>
<tightly, 1>
<short, 5>
<wore, 2>
<errands, 2>
<necessary, 2>
<needlework, 1>
<finished, 2>
<ironing, 1>
<slap, 1>
<bang, 1>
<anxious, 6>
<freak, 1>
<missed, 1>
<however, 1>
<fear, 1>
<regret, 3>
<puzzled, 1>
<roll, 1>
<bills, 1>
<choke, 2>
<contribution, 1>
<comfortable, 3>
<Twenty, 1>
<dollars, 2>
<rash, 2>
<mine, 7>
<honestly, 1>
<borrow, 2>
<steal, 1>
<earned, 1>
<blame, 2>
<sold, 2>
<bonnet, 3>
<general, 1>
<outcry, 1>
<arose, 1>
<abundant, 1>
<cut, 2>
<beautiful, 1>
<beauty, 2>
<doesn, 2>
<love, 6>
<dearly, 1>
<exclaimed, 2>
<hugged, 1>
<cropped, 1>
<tenderly, 3>
<assumed, 1>
<indifferent, 1>
<deceive, 1>
<particle, 1>
<rumpling, 1>
<bush, 1>
<affect, 1>
<fate, 1>
<nation, 1>
<wail, 1>
<vanity, 2>
<wig, 1>
<brains, 1>
<mop, 2>
<feels, 1>
<deliciously, 1>
<light, 3>
<cool, 1>
<barber, 2>
<curly, 3>
<crop, 2>
<boyish, 2>
<order, 2>
<please, 1>
<supper, 1>
<willingly, 1>
<sacrificed, 1>
<days, 2>
<stoutly, 1>
<relieved, 2>
<prank, 1>
<condemned, 1>
<cutting, 1>
<wild, 1>
<healthy, 1>
<eat, 2>
<midst, 1>
<hate, 3>
<croak, 2>
<ninepence, 1>
<quarterly, 1>
<salary, 1>
<rent, 1>
<clothes, 4>
<wicked, 2>
<bound, 1>
<needn, 1>
<child, 1>
<simplest, 1>
<earnings, 1>
<warmed, 1>
<selling, 2>
<dive, 1>
<tails, 1>
<prices, 1>
<marked, 1>
<tail, 1>
<thick, 1>
<forty, 1>
<thing, 6>
<stopping, 1>
<bought, 1>
<dared, 1>
<awe, 1>
<looked, 8>
<merely, 1>
<lived, 1>
<oil, 1>
<wasn, 4>
<used, 1>
<bounce, 1>
<shop, 1>
<buy, 1>
<fashionable, 1>
<color, 2>
<place, 3>
<shouldn, 1>
<start, 3>
<hurry, 1>
<silly, 4>
<changed, 1>
<topsy, 1>
<turvy, 1>
