<virtue, 1>
<rewarded, 1>
<People, 1>
<Course, 1>
<Pyramids, 1>
<wondered, 1>
<subject, 3>
<audience, 3>
<granted, 1>
<evil, 1>
<remedied, 1>
<unfolding, 1>
<glories, 1>
<Pharaohs, 1>
<thoughts, 1>
<price, 1>
<coal, 1>
<flour, 1>
<lives, 1>
<solve, 1>
<harder, 1>
<riddles, 1>
<Sphinx, 1>
<early, 1>
<heel, 1>
<stocking, 1>
<amused, 2>
<examining, 1>
<occupied, 1>
<matrons, 2>
<massive, 1>
<foreheads, 1>
<bonnets, 1>
<match, 1>
<discussing, 1>
<Women, 1>
<Rights, 1>
<making, 1>
<tatting, 1>
<Beyond, 1>
<pair, 1>
<humble, 1>
<lovers, 1>
<artlessly, 1>
<holding, 1>
<each, 2>
<somber, 2>
<spinster, 1>
<eating, 2>
<peppermints, 1>
<bag, 1>
<preparatory, 1>
<nap, 1>
<yellow, 1>
<bandanna, 1>
<neighbor, 1>
<studious, 1>
<lad, 2>
<absorbed, 1>
<newspaper, 1>
<pictorial, 1>
<sheet, 1>
<examined, 1>
<nearest, 1>
<idly, 1>
<wondering, 1>
<fortuitous, 1>
<concatenation, 1>
<needed, 1>
<melodramatic, 1>
<illustration, 1>
<Indian, 1>
<war, 1>
<costume, 1>
<tumbling, 1>
<precipice, 1>
<wolf, 1>
<throat, 1>
<infuriated, 1>
<gentlemen, 1>
<unnaturally, 1>
<small, 2>
<stabbing, 1>
<disheveled, 1>
<female, 1>
<flying, 1>
<background, 1>
<wide, 1>
<open, 2>
<Pausing, 1>
<page, 2>
<boyish, 1>
<offered, 2>
<saying, 3>
<bluntly, 1>
<read, 5>
<rate, 1>
<story, 11>
<outgrown, 1>
<liking, 1>
<lads, 1>
<involved, 1>
<labyrinth, 1>
<mystery, 1>
<murder, 2>
<belonged, 1>
<literature, 1>
<passions, 1>
<holiday, 1>
<invention, 1>
<fails, 1>
<catastrophe, 1>
<clears, 1>
<stage, 1>
<dramatis, 1>
<personae, 1>
<leaving, 1>
<exult, 1>
<downfall, 1>
<Prime, 1>
<boy, 3>
<eye, 3>
<paragraph, 1>
<portion, 1>
<tried, 5>
<admiration, 1>
<trash, 1>
<chap, 1>
<stories, 3>
<pointed, 1>
<name, 2>
<S, 1>
<L, 1>
<N, 1>
<G, 1>
<Northbury, 1>
<title, 1>
<tale, 2>
<Do, 4>
<sudden, 2>
<pieces, 1>
<fellow, 2>
<works, 1>
<office, 1>
<printed, 4>
<agitated, 1>
<group, 1>
<thickly, 1>
<sprinkled, 1>
<exclamation, 1>
<Guess, 1>
<knows, 2>
<folks, 2>
<gets, 2>
<paid, 2>
<heard, 2>
