<freedom, 1>
<republican, 1>
<zest, 1>
<matrons, 1>
<abdicate, 1>
<heir, 2>
<throne, 1>
<seclusion, 1>
<almost, 1>
<close, 2>
<nunnery, 1>
<means, 2>
<quiet, 2>
<Whether, 1>
<virtually, 1>
<shelf, 2>
<wedding, 1>
<excitement, 1>
<exclaim, 1>
<takes, 1>
<because, 5>
<belle, 1>
<fashionable, 1>
<Meg, 40>
<experience, 2>
<babies, 12>
<primitive, 1>
<customs, 1>
<prevailed, 1>
<beloved, 1>
<womanly, 3>
<maternal, 3>
<instinct, 1>
<entirely, 2>
<absorbed, 3>
<children, 13>
<utter, 2>
<exclusion, 1>
<else, 3>
<brooded, 1>
<tireless, 1>
<devotion, 2>
<anxiety, 1>
<tender, 3>
<mercies, 1>
<help, 7>
<Irish, 1>
<presided, 1>
<kitchen, 1>
<department, 1>
<Being, 1>
<domestic, 4>
<decidedly, 1>
<missed, 3>
<wifely, 1>
<attentions, 2>
<accustomed, 1>
<receive, 2>
<adored, 1>
<cheerfully, 1>
<supposing, 1>
<masculine, 1>
<ignorance, 1>
<peace, 2>
<restored, 1>
<months, 2>
<repose, 1>
<worn, 3>
<house, 8>
<neglected, 3>
<Kitty, 1>
<cook, 1>
<aisy, 1>
<kept, 3>
<commons, 1>
<commissions, 1>
<captive, 2>
<eager, 1>
<embrace, 1>
<quenched, 1>
<Hush, 1>
<They, 3>
<asleep, 4>
<worrying, 1>
<proposed, 2>
<amusement, 2>
<disturb, 1>
<hinted, 1>
<lecture, 1>
<concert, 2>
<reproachful, 2>
<Leave, 1>
<His, 3>
<sleep, 9>
<broken, 3>
<infant, 1>
<wails, 1>
<visions, 1>
<phantom, 1>
<pacing, 1>
<noiselessly, 1>
<fro, 1>
<watches, 1>
<meals, 1>
<interrupted, 1>
<frequent, 1>
<flight, 1>
<presiding, 1>
<genius, 1>
<deserted, 2>
<helped, 1>
<muffled, 1>
<chirp, 1>
<nest, 1>
<And, 2>
<paper, 1>
<Demi, 22>
<colic, 1>
<shipping, 1>
<list, 1>
<Daisy, 5>
<affected, 1>
<price, 1>
<stocks, 1>
