<pile, 1>
<blotted, 1>
<manuscript, 1>
<day, 5>
<name, 2>
<roll, 1>
<fame, 1>
<dutifully, 1>
<grandfather, 2>
<easiest, 1>
<manner, 2>
<A, 4>
<universal, 1>
<thanks, 2>
<manners, 1>
<kindest, 1>
<its, 4>
<owner, 1>
<scrapes, 1>
<danger, 1>
<spoiled, 2>
<promising, 1>
<talisman, 1>
<evil, 1>
<memory, 1>
<kind, 4>
<success, 1>
<watched, 1>
<son, 1>
<least, 1>
<knowledge, 1>
<innocent, 2>
<admired, 1>
<believed, 1>
<Being, 2>
<glorious, 1>
<human, 1>
<course, 4>
<frolicked, 1>
<flirted, 1>
<dandified, 1>
<aquatic, 1>
<sentimental, 2>
<gymnastic, 1>
<fashions, 1>
<ordained, 1>
<hazed, 2>
<talked, 2>
<slang, 1>
<perilously, 1>
<near, 3>
<suspension, 1>
<expulsion, 1>
<causes, 1>
<these, 6>
<pranks, 2>
<managed, 1>
<save, 1>
<frank, 1>
<confession, 1>
<honorable, 1>
<atonement, 1>
<irresistible, 1>
<persuasion, 1>
<fact, 1>
<prided, 1>
<narrow, 2>
<escapes, 1>
<thrill, 1>
<graphic, 1>
<accounts, 1>
<triumphs, 1>
<wrathful, 1>
<tutors, 1>
<dignified, 1>
<professors, 1>
<vanquished, 1>
<enemies, 1>
<class, 1>
<heroes, 1>
<wearied, 1>
<exploits, 1>
<our, 4>
<fellows, 2>
<frequently, 1>
<bask, 1>
<smiles, 2>
<creatures, 1>
<honor, 2>
<quite, 5>
<belle, 1>
<ladyship, 1>
<early, 2>
<use, 3>
<gift, 1>
<fascination, 1>
<endowed, 1>
<private, 1>
<particular, 1>
<lords, 1>
<creation, 1>
<peep, 2>
<wonder, 2>
<dared, 1>
<element, 1>
<difficult, 1>
<refrain, 1>
<imitating, 1>
<gentlemanly, 1>
<attitudes, 1>
<phrases, 1>
<feats, 1>
<natural, 2>
<decorums, 1>
<prescribed, 1>
<ladies, 1>
<immensely, 1>
<fell, 6>
<escaped, 1>
<paying, 1>
<tribute, 2>
<sigh, 2>
<two, 3>
<shrine, 1>
<speaking, 2>
<sentiment, 1>
<brings, 1>
<Dovecote, 1>
<brown, 3>
<prepared, 2>
<christened, 1>
<highly, 3>
<appropriate, 1>
<gentle, 3>
<turtledoves, 1>
<bill, 1>
<coo, 1>
<tiny, 1>
<garden, 5>
<behind, 2>
<lawn, 1>
<pocket, 5>
<handkerchief, 3>
<fountain, 2>
<shrubbery, 2>
<profusion, 2>
<flowers, 7>
<present, 2>
<represented, 1>
<weather, 1>
<beaten, 1>
<urn, 1>
<dilapidated, 1>
<slopbowl, 1>
<consisted, 1>
<several, 1>
<larches, 1>
<die, 1>
<merely, 2>
<hinted, 1>
<regiments, 1>
<sticks, 1>
<show, 3>
<seeds, 1>
<planted, 1>
<inside, 1>
<charming, 1>
<bride, 6>
<fault, 1>
<cellar, 1>
<hall, 3>
<fortunate, 1>
<piano, 1>
<dining, 2>
<six, 3>
<tight, 1>
<fit, 1>
<stairs, 1>
<built, 1>
<express, 2>
<purpose, 1>
<precipitating, 1>
<servants, 3>
<china, 2>
<pell, 1>
<mell, 1>
<coalbin, 1>
<used, 5>
<slight, 1>
<blemishes, 1>
<complete, 1>
<taste, 2>
<presided, 1>
<furnishing, 1>
<result, 1>
<satisfactory, 1>
<marble, 1>
<topped, 1>
<mirrors, 1>
<lace, 2>
<curtains, 2>
<simple, 2>
<furniture, 1>
<plenty, 1>
<picture, 1>
<bay, 1>
<window, 2>
<scattered, 1>
<friendly, 2>
<fairer, 1>
<loving, 3>
<messages, 1>
<Parian, 1>
<Psyche, 1>
<beauty, 4>
<bracket, 1>
<upholsterer, 1>
<draped, 1>
<plain, 1>
<muslin, 1>
<gracefully, 1>
<artistic, 1>
<store, 1>
<provided, 1>
<wishes, 2>
<merry, 1>
<boxes, 1>
<barrels, 1>
<bundles, 1>
<morally, 1>
<certain, 1>
<spandy, 1>
<cozy, 1>
<neat, 1>
<Hannah, 5>
<arranged, 1>
<every, 6>
<pot, 1>
<pan, 1>
<dozen, 2>
<laid, 1>
<fire, 2>
<lighting, 1>
<Mis, 1>
<also, 1>
<doubt, 1>
<matron, 1>
<supply, 2>
<dusters, 1>
<holders, 1>
<bags, 1>
<enough, 4>
<silver, 3>
<invented, 1>
<different, 3>
<kinds, 1>
<dishcloths, 1>
<service, 3>
<People, 1>
<hire, 2>
<lose, 1>
<homeliest, 1>
<tasks, 1>
<beautified, 1>
<proofs, 1>
<nest, 2>
<roller, 1>
<vase, 1>
<table, 3>
<eloquent, 2>
<forethought, 1>
<solemn, 2>
<shopping, 1>
<excursions, 1>
<funny, 2>
<mistakes, 1>
<shouts, 1>
<laughter, 3>
<arose, 1>
<ridiculous, 1>
<bargains, 1>
<jokes, 1>
<gentleman, 3>
<His, 1>
<whim, 1>
<bring, 1>
<weekly, 1>
<useful, 2>
<ingenious, 1>
<article, 1>
<housekeeper, 1>
<bag, 1>
<remarkable, 1>
<clothespins, 1>
<wonderful, 2>
<nutmeg, 1>
<grater, 1>
<pieces, 1>
<trial, 1>
<knife, 1>
<cleaner, 1>
<knives, 1>
<sweeper, 1>
<picked, 1>
<nap, 1>
<neatly, 1>
<carpet, 1>
<dirt, 1>
<saving, 2>
<soap, 1>
<skin, 1>
<infallible, 1>
