<lifting, 1>
<end, 2>
<curtain, 1>
<peeped, 1>
<arranged, 1>
<books, 9>
<German, 9>
<stout, 3>
<brown, 2>
<hair, 4>
<tumbled, 1>
<bushy, 1>
<beard, 1>
<nose, 1>
<splendid, 3>
<does, 3>
<ears, 1>
<sharp, 1>
<slipshod, 1>
<gabble, 1>
<His, 5>
<clothes, 4>
<rusty, 2>
<hands, 4>
<large, 3>
<handsome, 2>
<feature, 1>
<beautiful, 2>
<teeth, 1>
<linen, 1>
<buttons, 3>
<coat, 2>
<patch, 1>
<shoe, 1>
<sober, 2>
<spite, 5>
<humming, 1>
<turn, 2>
<hyacinth, 1>
<bulbs, 1>
<toward, 2>
<stroke, 1>
<cat, 1>
<received, 2>
<tap, 1>
<called, 3>
<loud, 3>
<brisk, 2>
<Herein, 1>
<caught, 2>
<morsel, 1>
<child, 3>
<carrying, 1>
<book, 5>
<stopped, 3>
<Me, 1>
<wants, 1>
<mite, 1>
<slamming, 1>
<running, 1>
<meet, 1>
<Thou, 1>
<shalt, 1>
<thy, 1>
<goot, 1>
<hug, 1>
<Tina, 9>
<catching, 1>
<laugh, 8>
<holding, 2>
<stoop, 1>
<kiss, 1>
<mus, 1>
<tuddy, 1>
<lessin, 1>
<dictionary, 1>
<brought, 3>
<paper, 2>
<pencil, 1>
<scribbled, 1>
<passing, 1>
<fat, 2>
<page, 2>
<finding, 1>
<nearly, 2>
<betrayed, 1>
<Mr, 29>
<stroking, 1>
<fatherly, 1>
<French, 2>
<Another, 2>
<knock, 1>
<appearance, 2>
<sent, 2>
<virtuously, 1>
<remained, 1>
<noise, 2>
<gabbling, 2>
<affectedly, 1>
<coquettish, 1>
<pronounced, 2>
<Both, 1>
<sorely, 1>
<heard, 3>
<emphatically, 1>
<attend, 1>
<rap, 1>
<struck, 2>
<followed, 1>
<despairing, 1>
<exclamation, 1>
<Prut, 2>
<bad, 5>
<Poor, 3>
<man, 6>
<pitied, 1>
<survived, 1>
<thrown, 2>
<chair, 1>
<tired, 2>
<clock, 2>
<jumped, 1>
<pocket, 1>
<ready, 1>
<lesson, 4>
<fallen, 1>
<sofa, 2>
<arms, 2>
<carried, 2>
<has, 15>
<wouldn, 3>
<five, 3>
<o, 1>
<dinner, 6>
<homesick, 1>
<under, 4>
<roof, 1>
<slip, 2>
<short, 2>
<efforts, 2>
<concealment, 1>
<failure, 2>
<cooled, 1>
<plucked, 1>
<courage, 2>
<intent, 1>
<gentlemen, 5>
<especially, 1>
<eating, 1>
<bolted, 1>
<vanishing, 1>
<done, 3>
<assortment, 1>
<men, 6>
<absorbed, 3>
<themselves, 1>
<couples, 1>
<each, 2>
<babies, 2>
<politics, 1>
<any, 6>
<sweetfaced, 1>
<maiden, 2>
<Cast, 1>
<bottom, 1>
<shouting, 1>
<answers, 1>
<questions, 1>
<inquisitive, 1>
<deaf, 1>
<side, 5>
<talking, 1>
<philosophy, 1>
<Frenchman, 1>
<forever, 3>
<because, 2>
<sad, 2>
<relate, 1>
<appetite, 1>
<shoveled, 2>
<manner, 3>
<horrified, 1>
<ladyship, 1>
<didn, 10>
<folks, 1>
<eat, 1>
<relish, 3>
<Hannah, 2>
<needed, 2>
<food, 2>
<idiots, 1>
<upstairs, 2>
<settling, 1>
<hats, 2>
<hall, 1>
<mirror, 1>
<low, 2>
<Who, 1>
<party, 1>
<Governess, 1>
<deuce, 1>
<Friend, 1>
<Handsome, 1>
<style, 3>
<Give, 1>
<light, 3>
<angry, 1>
<clerk, 1>
<judging, 1>
<remarks, 1>
<elegant, 1>
<beings, 1>
<clattered, 1>
<smoking, 2>
<chimneys, 1>
<hate, 1>
<ordinary, 1>
<Thursday, 1>
<Yesterday, 1>
<spent, 2>
<sewing, 1>
<cozy, 1>
<fire, 4>
<picked, 1>
<few, 4>
<bits, 3>
<news, 2>
<introduced, 3>
<Frenchwoman, 1>
<ironing, 1>
<laundry, 1>
<follows, 1>
<dog, 1>
<delights, 1>
<bacheldore, 1>
<Kitty, 4>
<Minnie, 4>
<regard, 2>
<affection, 1>
<sorts, 1>
<stories, 5>
<plays, 1>
<invents, 1>
<presents, 1>
<brings, 2>
<tales, 4>
<tells, 1>
<younger, 1>
<quiz, 1>
<Old, 1>
<Fritz, 1>
<Lager, 1>
<Beer, 2>
<Ursa, 1>
<Major, 1>
<jokes, 1>
<enjoys, 1>
<takes, 1>
<naturedly, 1>
<ways, 2>
<Miss, 8>
<Norton, 6>
<rich, 4>
<cultivated, 1>
<today, 2>
<fun, 4>
<watch, 1>
<pictures, 1>
<interesting, 2>
<persons, 1>
<friendly, 2>
<into, 8>
<likes, 2>
<newspapers, 2>
<wasn, 1>
<prettily, 1>
<This, 1>
<Mamma, 2>
<jolly, 2>
<we, 16>
<lots, 1>
<added, 3>
<enfant, 1>
<terrible, 1>
<We, 6>
<bowed, 1>
<prim, 1>
<introduction, 1>
<blunt, 1>
<addition, 1>
<comical, 2>
<contrast, 1>
<naughty, 1>
<vex, 1>
<Mees, 2>
<Marsch, 2>
<threatening, 1>
<frown, 1>
<delighted, 1>
<wretches, 1>
<doomed, 1>
<passed, 3>
<accident, 1>
<knocked, 1>
<against, 1>
<umbrella, 1>
<flew, 1>
<dressing, 1>
<gown, 1>
<sock, 4>
<darning, 2>
<needle, 1>
<seem, 2>
<explained, 2>
<hurried, 1>
<waved, 1>
<Bon, 1>
<voyage, 1>
<Mademoiselle, 1>
<pathetic, 1>
<also, 3>
<having, 5>
<mend, 2>
<embroider, 1>
<hose, 1>
<Saturday, 3>
<Nothing, 2>
<happened, 1>
<charming, 2>
<treasures, 2>
<sometimes, 2>
<lectures, 1>
<concerts, 1>
<escort, 1>
<favor, 1>
<kindness, 1>
<Lucifer, 1>
<favors, 2>
<burden, 1>
<gratefully, 1>
<uproar, 1>
<knees, 1>
<leading, 1>
<jump, 1>
<rope, 1>
<feeding, 2>
<boys, 4>
<seedcakes, 1>
<roared, 1>
<ramped, 1>
<cages, 1>
<built, 1>
<chairs, 1>
<playing, 1>
<nargerie, 1>
<Dis, 1>
<mine, 3>
<effalunt, 2>
<allows, 1>
<afternoon, 1>
<Franz, 2>
<Emil, 2>
<doesn, 3>
<looking, 5>
<earnest, 2>
<gif, 4>
<wort, 1>
<Hush, 1>
<glorious, 1>
<frolic, 1>
<witnessed, 1>
<They, 5>
<played, 2>
<tag, 1>
<soldiers, 1>
<danced, 1>
<sang, 1>
<grow, 3>
<dark, 3>
<piled, 1>
<onto, 1>
<fairy, 4>
<storks, 1>
<chimney, 1>
<tops, 1>
<koblods, 1>
<ride, 2>
<snowflakes, 1>
<wish, 5>
<Americans, 1>
<simple, 2>
<Germans, 2>
<spinning, 1>
<motives, 1>
<economy, 1>
<stop, 1>
<thin, 1>
<written, 1>
<tremble, 1>
<stamps, 1>
<Pray, 1>
<forward, 1>
<spare, 1>
<flat, 1>
<splendors, 1>
<studying, 3>
<Take, 1>
<give, 7>
<everyone, 2>
<From, 2>
<faithful, 1>
<P, 1>
<On, 1>
<reading, 2>
<strikes, 1>
<Bhaery, 1>
<else, 1>
<Bless, 2>
<DECEMBER, 1>
<Precious, 1>
<Betsey, 1>
<scribble, 1>
<scrabble, 1>
<direct, 1>
<amuse, 2>
<goings, 1>
<amusing, 1>
<oh, 1>
<joyful, 1>
<Herculaneum, 1>
<mental, 1>
<moral, 4>
<agriculture, 1>
<begin, 2>
<shoot, 1>
<twigs, 1>
<bend, 1>
<duty, 1>
<lads, 1>
<produces, 1>
<constant, 1>
<state, 1>
<effervescence, 1>
<afternoons, 1>
<riotous, 1>
<times, 2>
<whether, 3>
<begun, 1>
<droll, 2>
<rummaging, 1>
<Did, 1>
<Just, 3>
<rights, 1>
<everything, 3>
<upside, 1>
<trying, 4>
<discover, 2>
<six, 1>
<handkerchiefs, 1>
<ago, 1>
<worked, 4>
<Books, 1>
<everywhere, 1>
<broken, 1>
<meerschaum, 1>
<flute, 1>
<mantlepiece, 2>
<ragged, 1>
<bird, 2>
<without, 3>
<tail, 1>
<chirped, 1>
<box, 2>
<white, 1>
<mice, 1>
<adorned, 1>
<Half, 2>
<finished, 2>
<boats, 1>
<among, 2>
<manuscripts, 1>
<Dirty, 1>
<boots, 3>
<drying, 1>
<traces, 1>
<dearly, 1>
<beloved, 1>
<makes, 1>
<slave, 1>
<seen, 1>
<grand, 1>
<rummage, 1>
<three, 2>
<missing, 1>
<articles, 2>
<found, 5>
<cage, 1>
<covered, 3>
<ink, 2>
<burned, 1>
<holder, 2>
<Such, 2>
<natured, 1>
<relics, 1>
<rag, 1>
<bag, 1>
<torn, 1>
<rig, 1>
<ships, 1>
<bandage, 1>
<cut, 2>
<fingers, 3>
<kite, 1>
<tails, 1>
<dreadful, 1>
<scold, 1>
<absent, 1>
<minded, 1>
<goodnatured, 1>
<lets, 2>
<roughshod, 1>
<washing, 1>
<mending, 1>
<forgets, 1>
<forget, 3>
<pass, 1>
<needn, 2>
<bringing, 1>
<letters, 2>
<lending, 1>
<knit, 1>
<heels, 4>
<pairs, 2>
<socks, 2>
<boggled, 1>
<shape, 1>
<darns, 1>
<Hearing, 1>
<learn, 2>
<runs, 1>
<sitting, 2>
<finishing, 1>
<understand, 2>
<scholar, 1>
<stupid, 3>
<busily, 1>
<verb, 1>
<rocking, 1>
<absurd, 2>
<crow, 1>
<signs, 1>
<betray, 1>
<stared, 1>
<goose, 1>
<pleasanting, 1>
<busy, 3>
<blundered, 3>
<red, 1>
<peony, 1>
<fail, 1>
<At, 1>
<efening, 1>
<gladness, 1>
<debt, 1>
<pay, 2>
<pointed, 1>
<observe, 1>
<holes, 1>
<strings, 1>
<theirselves, 1>
<thanks, 2>
<works, 2>
<opportunity, 1>
<bargain, 1>
<stuck, 1>
<fast, 2>
<grammatical, 1>
<bog, 1>
<patient, 1>
<torment, 1>
<mild, 1>
<despair, 1>
<toss, 1>
<cry, 1>
<sniff, 1>
<utter, 1>
<mortification, 1>
<woe, 1>
<threw, 1>
<grammar, 3>
<floor, 2>
<marched, 1>
<disgraced, 1>
<deserted, 1>
<blame, 1>
<particle, 1>
<scrambling, 1>
<rush, 1>
<beaming, 1>
<glory, 1>
<read, 9>
<marchen, 1>
<dig, 1>
<dry, 1>
<corner, 1>
<making, 4>
<Hans, 1>
<Anderson, 1>
<invitingly, 1>
<neck, 1>
<forgot, 2>
<bashfulness, 1>
<pegged, 1>
<tumbling, 1>
<pronouncing, 1>
<inspiration, 1>
<breath, 1>
<clapped, 1>
<hearty, 1>
<ist, 1>
<gut, 1>
<ear, 1>
<rumbling, 1>
<Fortunately, 1>
<Constant, 1>
<Tin, 1>
<Soldier, 1>
<excited, 3>
<suits, 2>
<gets, 1>
<tucked, 1>
<poetry, 1>
<pills, 1>
<jelly, 1>
<Christmas, 2>
<dare, 1>
<offer, 2>
<money, 5>
<given, 3>
<manages, 1>
<jealous, 1>
<saint, 1>
<spice, 2>
<human, 2>
<naughtiness, 1>
<Read, 2>
<Thank, 2>
<Heaven, 1>
<continues, 1>
<JANUARY, 1>
<Happy, 1>
<Year, 4>
<dearest, 1>
<includes, 1>
<L, 1>
<bundle, 2>
<hoping, 1>
<Your, 1>
<parcel, 1>
<disappointed, 1>
<muddy, 1>
<battered, 1>
<hugged, 1>
<pranced, 1>
<homey, 1>
<refreshing, 1>
<ate, 1>
<wanted, 2>
<being, 4>
<instead, 1>
<bought, 1>
<bib, 1>
<capital, 1>
<treasure, 1>
<flannels, 1>
<carefully, 4>
<marked, 3>
<Speaking, 1>
<reminds, 1>
<line, 1>
<Day, 1>
<Shakespeare, 3>
<values, 1>
<admired, 1>
<set, 3>
<honor, 2>
<Bible, 1>
<Plato, 1>
<Homer, 1>
<Milton, 1>
<imagine, 1>
<its, 6>
<cover, 1>
<Friedrich, 2>
<library, 2>
<Here, 1>
<lids, 1>
<meant, 2>
<covers, 1>
<study, 3>
<world, 3>
<paint, 1>
<pen, 1>
<thanked, 1>
<hundred, 1>
<explain, 1>
<horrid, 1>
<either, 1>
<Bear, 1>
<admire, 2>
<warm, 3>
<wise, 1>
<knowing, 3>
<several, 2>
<unexpectedly, 1>
<standish, 1>
<vase, 1>
<flower, 1>
<green, 1>
<fresh, 1>
<blower, 1>
<burn, 1>
<calls, 1>
<mouchoirs, 1>
<invented, 1>
<butterfly, 1>
<body, 1>
<black, 1>
<yellow, 1>
<worsted, 1>
<feelers, 1>
<bead, 1>
<article, 1>
<virtue, 1>
<laundrywoman, 1>
<masquerade, 1>
<gay, 1>
<dress, 3>
<remembered, 2>
<brocades, 1>
<lent, 1>
<lace, 1>
<feathers, 1>
<dressed, 2>
