<month, 1>
<Nothing, 2>
<grinding, 1>
<skylarking, 1>
<either, 1>
<country, 3>
<What, 7>
<To, 3>
<Italy, 1>
<myself, 6>
<wanted, 7>
<brows, 1>
<threatening, 1>
<knit, 1>
<changed, 2>
<subject, 1>
<saying, 4>
<foot, 6>
<kept, 5>
<splendid, 4>
<polka, 2>
<Why, 2>
<try, 5>
<gallant, 1>
<bow, 1>
<wouldn, 4>
<There, 9>
<stopped, 3>
<undecided, 1>
<whether, 2>
<Because, 1>
<Never, 4>
<Well, 3>
<trick, 1>
<standing, 1>
<fire, 5>
<burn, 1>
<frocks, 1>
<scorched, 1>
<mended, 1>
<shows, 1>
<still, 6>
<may, 1>
<want, 5>
<He, 9>
<minute, 6>
<expression, 1>
<puzzled, 1>
<gently, 1>
<manage, 1>
<long, 11>
<hall, 4>
<grandly, 1>
<Please, 2>
<thanked, 3>
<gladly, 2>
<wishing, 1>
<colored, 3>
<ones, 3>
<partner, 1>
<empty, 1>
<grand, 1>
<danced, 2>
<taught, 3>
<step, 2>
<delighted, 1>
<being, 14>
<full, 5>
<swing, 1>
<spring, 2>
<When, 8>
<stairs, 1>
<get, 17>
<breath, 2>
<midst, 2>
<account, 1>
<students, 1>
<festival, 1>
<Heidelberg, 1>
<appeared, 4>
<search, 1>
<beckoned, 2>
<reluctantly, 1>
<followed, 1>
<side, 3>
<sofa, 4>
<holding, 2>
<pale, 1>
<sprained, 1>
<ankle, 2>
<stupid, 1>
<heel, 1>
<gave, 7>
<sad, 1>
<wrench, 1>
<aches, 1>
<hardly, 1>
<stand, 2>
<rocking, 1>
<fro, 1>
<those, 3>
<silly, 2>
<shoes, 1>
<sorry, 5>
<except, 2>
<carriage, 6>
<night, 3>
<softly, 1>
<rubbing, 1>
<poor, 10>
<spoke, 2>
<without, 8>
<its, 6>
<costing, 1>
<dare, 1>
<most, 6>
<stable, 1>
<indeed, 1>
<past, 1>
<nine, 2>
<dark, 1>
<Egypt, 1>
<house, 8>
<staying, 1>
<rest, 4>
<comes, 3>
<then, 13>
<best, 7>
<relieved, 2>
<idea, 5>
<occurred, 1>
<Mercy, 1>
<Get, 1>
<rubbers, 3>
<these, 5>
<our, 9>
<anymore, 1>
<watch, 1>
<run, 2>
<along, 3>
<bring, 4>
<coffee, 4>
<tired, 4>
<reclined, 1>
<hidden, 4>
<blundering, 1>
<dining, 1>
<china, 1>
<closet, 1>
<opening, 2>
<taking, 2>
<private, 1>
<refreshment, 1>
<Making, 1>
<dart, 1>
<table, 4>
<secured, 1>
<immediately, 1>
<spilled, 1>
<thereby, 1>
<making, 3>
<front, 1>
<blunderbuss, 1>
<exclaimed, 2>
<finishing, 1>
<scrubbing, 2>
<gown, 3>
<help, 9>
<friendly, 2>
<cup, 1>
<hand, 6>
<plate, 1>
<ice, 3>
<other, 9>
<someone, 4>
<shook, 2>
<state, 2>
<glancing, 1>
<dismally, 2>
<stained, 1>
<skirt, 1>
<Too, 1>
<give, 8>
<May, 1>
<offer, 3>
<should, 7>
<scrape, 2>
<led, 3>
<used, 4>
<waiting, 2>
<ladies, 3>
<drew, 3>
<second, 1>
<installment, 1>
<obliging, 1>
<even, 5>
<particular, 1>
<bonbons, 2>
<mottoes, 1>
<game, 1>
<Buzz, 1>
<three, 3>
<strayed, 1>
<forgot, 5>
<rose, 1>
<quickly, 3>
<forced, 1>
<catch, 1>
<exclamation, 1>
<Hush, 1>
<whispered, 1>
<aloud, 2>
<nothing, 5>
<limped, 1>
<upstairs, 1>
<scolded, 2>
<wits, 1>
<end, 2>
<decided, 4>
<Slipping, 1>
<ran, 3>
<finding, 1>
<servant, 2>
<happened, 4>
<hired, 1>
<waiter, 1>
<neighborhood, 1>
<heard, 3>
<offered, 2>
<grandfather, 1>
<early, 4>
<hesitating, 1>
<accept, 1>
<truly, 1>
<rains, 1>
<settled, 1>
<telling, 1>
<mishap, 1>
<gratefully, 2>
<accepted, 2>
<rushed, 1>
<party, 8>
<hated, 1>
<rain, 1>
<trouble, 2>
<rolled, 1>
<luxurious, 1>
<close, 1>
<festive, 1>
<box, 1>
<talked, 3>
<freedom, 1>
<capital, 1>
